dir,track,h,search,queue,algo,dom,cov
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,maintenance,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,openstacks,13
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,hiking,14
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,visitall,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,ged,0
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,nomystery,5
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,tidybot,18
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,pegsol,20
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,visitall,4
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,transport,13
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,elevators,9
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,woodworking,1
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,barman,0
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,parcprinter,9
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,parking,19
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,floortile,0
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,scanalyzer,20
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,sokoban,16
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,openstacks,19
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,barman,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,citycar,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,parking,12
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,childsnack,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,floortile,2
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,tetris,8
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,cavediving,7
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,transport,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,thoughtful,8
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,maintenance,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,openstacks,20
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,hiking,18
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,visitall,0
